INFO:  2023-06-12 01:24:43,579:  17136:  warehouse_load:  Warehouse load session of Freight Invoices has ended.
INFO:  2023-06-12 01:24:43,580:  17136:  main:  Warehouse load of Freight Invoices CPU usage 1.6%.
INFO:  2023-06-12 01:24:43,580:  17136:  main:  Warehouse load took: 7.591762542724609 seconds.
INFO:  2023-06-12 01:24:43,582:  17136:  main:  ETL Job took: 60.80912256240845 seconds.
INFO:  2023-06-12 01:24:43,582:  17136:  main:  Session Summary:
INFO:  2023-06-12 01:24:43,583:  17136:  main:  RAM memory 42.3% used.
INFO:  2023-06-12 01:24:43,583:  17136:  main:  CPU usage 0.0%.
INFO:  2023-06-12 01:29:10,223:  14532:  <module>:  ETL job initialised.
INFO:  2023-06-12 01:29:18,371:  14532:  clean_staging_tables:  Staging tables cleaning started.
INFO:  2023-06-12 01:29:18,373:  14532:  clean_staging_tables:  Staging tables cleaned successfully.
INFO:  2023-06-12 01:29:18,373:  14532:  clean_staging_tables:  Staging tables cleaning has ended.
INFO:  2023-06-12 01:29:18,374:  14532:  main:  Cleaning staging tables CPU usage 0.7%.
INFO:  2023-06-12 01:29:18,374:  14532:  main:  Cleaning staging tables took: 0.0029952526092529297 seconds.
INFO:  2023-06-12 01:29:18,374:  14532:  extract:  Start Products extract session.
INFO:  2023-06-12 01:29:18,590:  14532:  extract:  Extraction session of Products completed successfully.
INFO:  2023-06-12 01:29:18,590:  14532:  main:  Extraction of Products CPU usage 7.3%.
INFO:  2023-06-12 01:29:18,590:  14532:  main:  Extraction took: 0.21608543395996094 seconds.
INFO:  2023-06-12 01:29:18,590:  14532:  staging_load:  Start Products staging load session.
INFO:  2023-06-12 01:29:18,608:  14532:  staging_load:  Staging load session of Products completed successfully.
INFO:  2023-06-12 01:29:18,609:  14532:  staging_load:  Staging load session of Products has ended.
INFO:  2023-06-12 01:29:18,609:  14532:  main:  Staging load of Products CPU usage 12.5%.
INFO:  2023-06-12 01:29:18,609:  14532:  main:  Staging load took: 0.018980026245117188 seconds.
INFO:  2023-06-12 01:29:18,609:  14532:  extract:  Start Shops extract session.
INFO:  2023-06-12 01:29:18,622:  14532:  extract:  Extraction session of Shops completed successfully.
INFO:  2023-06-12 01:29:18,622:  14532:  main:  Extraction of Shops CPU usage 12.5%.
INFO:  2023-06-12 01:29:18,623:  14532:  main:  Extraction took: 0.01296544075012207 seconds.
INFO:  2023-06-12 01:29:18,623:  14532:  staging_load:  Start Shops staging load session.
INFO:  2023-06-12 01:29:18,640:  14532:  staging_load:  Staging load session of Shops completed successfully.
INFO:  2023-06-12 01:29:18,640:  14532:  staging_load:  Staging load session of Shops has ended.
INFO:  2023-06-12 01:29:18,640:  14532:  main:  Staging load of Shops CPU usage 5.6%.
INFO:  2023-06-12 01:29:18,640:  14532:  main:  Staging load took: 0.016948461532592773 seconds.
INFO:  2023-06-12 01:29:18,640:  14532:  extract:  Start Warehouses extract session.
INFO:  2023-06-12 01:29:18,653:  14532:  extract:  Extraction session of Warehouses completed successfully.
INFO:  2023-06-12 01:29:18,654:  14532:  main:  Extraction of Warehouses CPU usage 7.1%.
